Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score
Incredible,RDR,INCR.SI,14.968,3.258,,,Technology Equipment,76
Indofood Agri,5JS,IFAR.SI,521.202,1345.6,286.76,,Food & Beverages,74
Informatics,BOU,INFO.SI,4.433,7.132,,,Personal & Household Products & Services,56
InnoPac,I26,INPS.SI,8.649,-0.005,,,Real Estate,37
InnoTek,M14,INTK.SI,235.557,183.192,15.71,2.09,Technology Equipment,75
Interra Resource,5GI,INTR.SI,26.875,14.332,,,Energy - Fossil Fuels,65
Intl Cement,KUO,INTN.SI,223.655,141.626,25.32,,Mineral Resources,
Intraco,I06,ITRS.SI,25.413,135.942,,,Industrial & Commercial Services,86
IPC Corp,AZA,IPCC.SI,15.353,5.412,,,Cyclical Consumer Services,61
IPS Securex,42N,IPSS.SI,35.478,14.472,30.42,,Technology Equipment,76
IREIT Global,UD1U,IREI.SI,615.632,60.871,14.31,7.27,Real Estate,76
ISDN,I07,ISDN.SI,269.909,361.864,17.65,1.29,Industrial Goods,91
ISEC,40T,ISEC.SI,159.699,36.129,34.2,2.76,Healthcare Services,79
Isetan,I15,ISET.SI,165,77.16,,1.25,Retailers,73
ISOTeam,5WF,ISOT.SI,46.681,64.633,,3.13,Industrial & Commercial Services,76
IX Biopharma,42C,IXBI.SI,170.729,1.521,,,Pharmaceuticals & Medical Research,61
Jackspeed,J17,JACK.SI,39.295,0,,,Automobiles & Auto Parts,67
Jadason,J03,JADA.SI,21.056,41.086,,,Technology Equipment,56
Japan Foods,5OI,JPFD.SI,70.647,51.002,19.42,2.47,Cyclical Consumer Services,82
Japfa,UD2,JAPF.SI,1803.082,5338.546,4.07,1.12,Food & Beverages,82
Jardine C&C,C07,JCYC.SI,8647.77,17568.4,12.06,2.6,Automobiles & Auto Parts,91
Jason Marine,5PF,JMGL.SI,14.31,30.149,45.45,3.7,Technology Equipment,70
Jasper Inv,FQ7,JASP.SI,17.417,-0.025,,,Energy - Fossil Fuels,41
Jawala,1J7,JAWA.SI,22.51,,,,Applied Resources,59
JB Foods,BEW,JBFO.SI,187.984,554.568,7.3,3.23,Food & Beverages,75
JEP,1J4,JEPH.SI,84.859,73.284,386.79,,Industrial Goods,46
JES Intl,EG0,JSIH.SI,30.865,0,,,Industrial Goods,12
Jiutian Chemical,C8R,JUTN.SI,186.914,237.624,4.9,3.72,Chemicals,54
JMH USD,J36,JARD.SI,45607.219,32647,,2.72,Consumer Goods Conglomerates,
Joyas Intl,E9L,JIHL.SI,8.855,0.315,,,Cyclical Consumer Products,47
Jubilee,NHD,JLJH.SI,11.045,113.343,,,Industrial Goods,59
Jumbo,42R,JUMB.SI,212.096,97.573,,3.64,Cyclical Consumer Services,74
Karin Tech,K29,KARI.SI,69.797,288.125,74.75,3.97,Technology Equipment,80
